Mánuður,Vísitala,Launþegahópur,Eining,gildi
2016M01,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",11.2
2016M01,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,82.6
2016M01,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.6
2016M01,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",10.8
2016M01,Vísitala grunnlauna,Alls,Vísitölugildi,81.4
2016M01,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.5
2016M01,Vísitala grunnlauna,Alls,"Ársbreyting, %",8.5
2016M01,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,81.1
2016M01,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.4
2016M01,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",8.4
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,82.6
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.8
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",8.6
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,82.5
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.7
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",10.4
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,82.7
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.9
2016M01,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",6.5
2016M02,Launavísitala,Alls,Vísitölugildi,84.1
2016M02,Launavísitala,Alls,"Mánaðarbreyting, %",3.5
2016M02,Launavísitala,Alls,"Ársbreyting, %",12.6
